,Суммы операций
499,185.98
501,34.0
503,59.47
508,133.97
510,7.99
511,111.78
512,196.33
518,94.82
520,163.97
523,220.95
530,108.56
531,1195.77
536,152.0
540,105.98
541,167.97
549,96.78
552,149.64
554,146.0
559,137.95
562,146.0
563,131.98
566,443.75
567,92.61
572,82.97
574,315.75
575,67.0
577,57.99
581,51.99
582,90.41
583,185.96
586,88.45
589,149.46
594,89.43
596,91.39
598,218.97
599,93.84
600,82.0
608,111.98
611,113.98
614,119.99
615,56.99
617,119.98
618,1293.93
619,818.87
620,1375.46
621,91.63
623,261.95
626,44.9
633,34.0
640,146.0
642,113.98
644,162.98
650,127.99
651,69.99
653,49.99
657,238.79
662,152.76
664,269.8
666,87.96
669,146.0
670,68.0
673,59.99
675,222.0
676,249.97
680,91.39
681,219.98
683,103.98
686,32.99
687,91.88
688,106.68
695,90.16
698,146.0
707,237.6
708,312.96
710,150.67
713,92.61
715,305.96
716,63.09
718,433.81
720,278.0
725,228.91
726,94.08
730,34.0
731,124.89
734,126.12
735,289.99
737,246.45
741,88.45
746,146.0
747,414.0
749,201.96
755,90.41
756,780.0
758,389.8
762,121.83
765,110.98
766,57.99
767,146.0
768,69.99
769,95.81
771,152.0
772,90.9
774,615.2
778,73.79
792,159.99
796,57.99
798,86.0
804,103.0
805,82.99
806,226.7
808,115.98
814,115.37
818,110.86
819,74.5
822,180.97
823,319.99
824,136.97
825,34.0
829,124.49
830,39.99
835,157.0
836,42.48
837,368.8
839,259.99
840,88.0
841,23.17
842,450.94
854,50.29
857,363.95
858,236.79
859,100.58
866,157.0
870,100.58
873,273.98
877,541.5
880,82.0
890,5.9
891,1759.96
893,109.27
894,127.68
896,57.0
897,66.0
898,234.66
900,30.0
903,2569.16
910,94.0
913,98.0
916,159.0
917,57.99
918,80.0
920,199.0
921,57.0
922,231.66
924,113.38
927,208.91
928,93.0
