,Номер недели,average_amount
0,27,2227.3033333333333
1,27,200.17333333333332
2,28,107.99666666666667
3,28,161.04000000000002
4,28,1520.9066666666668
5,28,109.0
6,28,36.63333333333333
7,29,601.1633333333334
8,29,120.0
9,29,77116.64666666667
10,29,3527.25
11,29,43.0
12,30,219.66
13,30,1503.43
14,30,3740.29
15,30,187.83333333333334
16,30,2602.6666666666665
17,30,100.58
18,30,236.79
19,31,196.975
20,31,111.04833333333333
21,31,315.0
22,31,83.75
23,31,190.422
24,31,259.99
25,31,170.42666666666668
26,32,94.0
27,32,816.6700000000001
28,32,159.5
29,32,136.97
30,32,687.74
31,33,151.84
32,33,205.5925
33,33,2004.52
34,33,133.35
35,33,103.598
36,33,848.4061538461539
37,34,35490.725
38,34,577.4
39,34,229.038
40,34,144.61666666666667
41,34,104.99000000000001
42,34,147.80499999999998
43,35,628.21
44,35,297.6825
45,35,884.5799999999999
46,35,120.25
47,35,90.94142857142857
48,35,182.0
49,35,214.718
50,36,90.45599999999999
51,36,131.1525
52,36,104.4
53,36,949.0271428571428
54,36,89.90625
55,36,138.67714285714285
56,36,107.502
57,37,234.14000000000001
58,37,36619.796363636364
59,37,27343.1
60,37,188.15
61,37,114.03
62,37,554.0885714285715
63,37,1204.0179999999998
64,38,10265.5
65,38,5243.89
66,38,131.60333333333332
67,38,3000.0
68,38,774.36
69,38,1854.232
70,38,854.472
71,39,119.83000000000001
72,39,142.85999999999999
73,39,233.885
74,39,115.41
75,39,185.70285714285714
76,39,1978.8
77,39,211.4
78,40,16118.021666666667
79,40,151.9925
80,40,1192.964
81,40,168.51666666666668
82,40,169.20555555555555
83,40,117.05666666666666
